questionID,category,sets,question,A,B,C,D,AnswerKey
AIMS_2008_4_18,Test,easy,Which of the following contains salt water? , oceans , raindrops , groundwater , polar icecaps,A
Mercury_SC_402052,Test,easy,Which reflects light? , mirror , camera , telescope , eyeglasses,A
MCAS_2003_8_5,Test,easy,Which of the following is a necessary condition for a lunar eclipse to occur? , The Moon must be full. , The Moon must be waxing. , It must be the beginning of the month. , It must be winter in the Northern Hemisphere.,A
Mercury_7162558,Test,easy,Materials made of the same substance will have characteristics in common. Which property is most likely to remain constant in different samples of the same material? , density , mass , shape , volume,A
VASoL_2008_3_20,Test,easy,Which of these is an example of something being recycled? , Taking glass bottles to a place that makes them into new bottles , Using the same foil to cover food several times , Wrapping glasses with newspaper to put them in a moving box , Carrying lunch to school every day in the same plastic bag,A
Mercury_SC_406674,Test,easy,The fossil record shows that trees have changed throughout the years. Which of the following conclusions would be best supported by the fossil record? , The environment has changed. , Animals need leafy trees. , Rocks can destroy trees. , Trees give off oxygen.,A
Mercury_403937,Test,easy,A student investigates the effect of temperature on the distance a caterpillar travels in one minute. The student performs the investigation at four different times of day using one caterpillar. This experiment could be improved if the student , uses more than one caterpillar. , performs the investigation on a wet surface. , uses earthworms instead of caterpillars. , performs the investigation at the same time on four days.,A
Mercury_7108238,Test,easy,"In the 18th century, smallpox was a common and deadly disease. A country doctor, Edward Jenner, observed that patients working with cattle who contracted a mild disease called cowpox, never came down with the more serious smallpox. When Jenner obtained liquid from cowpox sores and injected it into healthy patients, they became immune to smallpox. What term best describes Jenner's treatment for smallpox? ", vaccination , gene therapy , chemotherapy , genetic engineering,A
MDSA_2007_8_4,Test,easy,"Use The Periodic Table of the Elements and the information below to answer the question. Magnesium metal (Mg) is grayish-white in color and reacts actively with water. Fluorine (F2) is a greenish-yellow gas at room temperature and is a member of the halogen family. These two elements react to produce magnesium fluoride (MgF2), a chemical commonly used in making windows and lenses. According to the Periodic Table of the Elements, which element is most similar to magnesium (Mg)? ", calcium (Ca) , iodine (I) , sodium (Na) , sulfur (S),A
Mercury_7230423,Test,easy,Which was a main force driving extensive speciation when the environment became hospitable to life after the Permian mass extinction? , increase in available ecological niches , increase of atmospheric oxygen to present levels , increase in genetic diversity among surviving organisms , increase in interbreeding between organisms of different species,A
Mercury_SC_416135,Test,easy,Which two are functions of flowers? , attract pollinators and make seeds , make seeds and store food , store food and take in water , take in water and attract pollinators,A
MEAP_2005_8_33,Test,easy,"When soil becomes saturated during rainfall, excess water begins to collect on the surface. Downslope movement of this excess water to rivers, lakes, and streams is called ", runoff. , filtration. , groundwater. , condensation.,A
MCAS_2004_9_20,Test,easy,What part of a communication system converts binary codes in a computer into recognizable characters? , decoder , encoder , receiver , transmitter,A
MCAS_2004_5_14,Test,easy,Ricardo has an igneous rock in his rock collection. Where did this rock most likely form? , in a volcano , on a forest floor , on a coral reef , at the bottom of a river,A
Mercury_SC_409024,Test,easy,Animals get energy from eating food that comes from plants. Plants survive by taking in substances that are released by animals. What substance do animals release that plants take in? , carbon dioxide , oxygen , salt , sugar,A
Mercury_7038850,Test,easy,Which of these materials transfers heat energy quickest? , metal , glass , plastic , wood,A
Mercury_7239313,Test,easy,An increase in which ecosystem factor could cause a population decline in a bird species? , emigration , immigration , number of births , amount of food,A
Mercury_7011760,Test,easy,Twentieth-century research and development of vaccines significantly reduced the threat of , polio. , stroke. , diabetes. , osteoporosis.,A
Mercury_7008785,Test,easy,The tendency of an element to react chemically is closely related to , the number of valence electrons. , the ratio of protons to neutrons. , how tightly atoms are packed. , the number of neutrons in atoms.,A
Mercury_SC_405059,Test,easy,Gasoline is a nonrenewable energy resource used in most cars and trucks. Gasoline is made from which source? , oil , hydrogen , natural gas , water vapor,A
NYSEDREGENTS_2008_4_27,Test,easy,Some birds fly south in the fall and return in the spring. This is an example of , migration , camouflage , hibernation , growth,A
MEAP_2005_8_14,Test,easy,"When European settlers first came to North America, the average thickness of the top layer of soil was approximately 23 cm. Today, the average thickness of the top layer of soil is less than 15 cm. Which of the following factors has most likely had the greatest effect on erosion of the top layer of soil? ", farming , restoring wetlands , species reintroduction , excessive groundwater use,A
Mercury_7282695,Test,easy,Which two behaviors best demonstrate stewardship? ," reducing consumption, recycling wastes "," increasing consumption, discarding wastes "," reducing consumption, discarding wastes "," increasing consumption, recycling wastes",A
Mercury_SC_405499,Test,easy,Jagged mountains would most likely become rounded hills through which process? , erosion , deposition , volcanic activity , chemical change,A
Mercury_7056315,Test,easy,"During the light reactions of photosynthesis, energy is stored in the compounds ATP and NADPH. A second set of reactions uses this stored energy to produce vital compounds such as glucose. This second set of reactions involves a biochemical pathway called ", the Calvin cycle. , carbon fixation. , respiration. , transpiration.,A
TIMSS_1995_8_I16,Test,easy,"A metal spoon, a wooden spoon, and a plastic spoon are placed in hot water. After 15 seconds, which spoon will feel hottest? ", The metal spoon , The wooden spoon , The plastic spoon , The three spoons will feel the same.,A
Mercury_7064698,Test,easy,"When iron combines with oxygen in a moist environment, rust forms because of a ", chemical reaction. , physical reaction. , change in density. , change in temperature.,A
TIMSS_2003_4_pg8,Test,easy,"Humans interpret seeing, hearing, tasting, and smelling in the ", brain , spinal cord , receptors , skin,A
Mercury_7264145,Test,easy,Which type of radiation provides astronomers with the most useful information about high-energy events such as stars colliding? , gamma radiation , infrared radiation , radio waves , visible light,A
Mercury_192990,Test,easy,All of the following are renewable resources except , minerals. , trees. , wind. , water.,A
VASoL_2009_3_27,Test,easy,A puddle of water on a concrete driveway will disappear after a few hours during a sunny day. Where does the water go as it disappears? , It goes into the air. , Animals drink it. , It soaks into the concrete. , It becomes a different substance.,A
Mercury_SC_402124,Test,easy,About how long does it take Earth to make a complete revolution around the Sun? , 1 year , 1 week , 1 day , 1 hour,A
